,Outlier,comment_count,down_votes,post_id,reputation,score,up_votes,user_id,view_count,views
1,reputation,8,2098,37342151,30144,0,1264,131809,16,1923
2,reputation,0,17059,36934736,183790,2,14348,253056,20,23287
8,reputation,1,623,34573995,18981,0,787,1822164,20,2806
24,reputation,0,28,37594513,27410,2,727,911930,16,2700
25,reputation,0,28,37752896,27410,1,727,911930,10,2700
26,reputation,0,28,35319247,27410,1,727,911930,19,2700
27,reputation,0,28,37751754,27410,0,727,911930,4,2700
28,reputation,1,28,37612206,27410,0,727,911930,18,2700
29,reputation,0,28,35772062,27410,0,727,911930,18,2700
30,reputation,0,28,31672052,27410,0,727,911930,16,2700
31,reputation,2,28,31112735,27410,0,727,911930,20,2700
32,reputation,1,28,32587718,27410,0,727,911930,16,2700
33,reputation,0,28,32033132,27410,0,727,911930,18,2700
34,reputation,0,28,31874655,27410,0,727,911930,16,2700
35,reputation,0,28,34228412,27410,0,727,911930,19,2700
51,reputation,2,11,22179082,34006,0,1262,683553,14,1640
52,reputation,0,11,31927733,34006,0,1262,683553,12,1640
53,reputation,0,11,37471953,34006,0,1262,683553,19,1640
54,reputation,0,11,30404261,34006,0,1262,683553,15,1640
55,reputation,3,11,32661087,34006,-1,1262,683553,19,1640
56,reputation,2,78,30705514,26819,0,894,1033686,20,1724
57,reputation,1,78,37416747,26819,0,894,1033686,16,1724
58,reputation,1,78,31305236,26819,0,894,1033686,19,1724
66,reputation,1,121,34107190,32089,1,1355,138578,20,4762
67,reputation,0,121,37557754,32089,0,1355,138578,13,4762
68,reputation,0,121,37570473,32089,0,1355,138578,5,4762
69,reputation,0,20,23501111,12889,0,695,400790,20,610
70,reputation,0,20,7273810,12889,0,695,400790,18,610
71,reputation,0,20,34416336,12889,1,695,400790,19,610
90,reputation,0,100,31383988,31303,0,1142,153422,12,2885
113,reputation,0,273,36547904,33337,0,943,253468,18,2891
170,reputation,1,242,29592171,39423,1,2998,199700,16,6794
171,reputation,5,242,28725286,39423,0,2998,199700,17,6794
185,reputation,0,2,35651814,14969,0,504,516629,20,697
186,reputation,2,2,8444298,14969,0,504,516629,13,697
187,reputation,0,2,36946727,14969,0,504,516629,20,697
202,reputation,1,50,35550853,34643,1,593,5975,10,2076
203,reputation,0,50,35506062,34643,1,593,5975,20,2076
211,reputation,2,14,21925923,11985,0,826,1678468,18,454
218,reputation,2,461,37642104,187688,4,3899,324584,18,27257
